Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
false,11,Friday,Los Angeles Rams,9,59.3,19,19,Los Angeles Rams,59.3,New England Patriots,40.3,https://www.espn.com/nfl/game/_/gameId/401671701/rams-patriots
false,11,Friday,Atlanta Falcons,17,58.7,17.8,13,Atlanta Falcons,58.7,Denver Broncos,40.9,https://www.espn.com/nfl/game/_/gameId/401671748/falcons-broncos
false,11,Friday,New York Jets,10,58.1,16.6,9,Indianapolis Colts,41.5,New York Jets,58.1,https://www.espn.com/nfl/game/_/gameId/401671782/colts-jets
false,11,Friday,Green Bay Packers,26,54.8,10,5,Green Bay Packers,54.8,Chicago Bears,44.8,https://www.espn.com/nfl/game/_/gameId/401671869/packers-bears
false,11,Friday,Baltimore Ravens,7,53.6,7.5,16,Baltimore Ravens,53.6,Pittsburgh Steelers,46.1,https://www.espn.com/nfl/game/_/gameId/401671630/ravens-steelers
false,11,Friday,Miami Dolphins,29,53.5,7.3,2,Las Vegas Raiders,46.2,Miami Dolphins,53.5,https://www.espn.com/nfl/game/_/gameId/401671851/raiders-dolphins
false,11,Friday,Minnesota Vikings,15,53.4,7.2,10,Minnesota Vikings,53.4,Tennessee Titans,46.2,https://www.espn.com/nfl/game/_/gameId/401671824/vikings-titans
false,11,Friday,New Orleans Saints,14,52.3,5,8,Cleveland Browns,47.3,New Orleans Saints,52.3,https://www.espn.com/nfl/game/_/gameId/401671746/browns-saints
false,11,Saturday,Dallas Cowboys,8,52.1,4.5,2,Houston Texans,47.6,Dallas Cowboys,52.1,https://www.espn.com/nfl/game/_/gameId/401671694/texans-cowboys
false,11,Friday,Cincinnati Bengals,11,50.5,1.4,5,Cincinnati Bengals,50.5,Los Angeles Chargers,49.1,https://www.espn.com/nfl/game/_/gameId/401671675/bengals-chargers
false,11,Friday,Buffalo Bills,4,50.2,0.8,2,Kansas City Chiefs,49.4,Buffalo Bills,50.2,https://www.espn.com/nfl/game/_/gameId/401671665/chiefs-bills
false,12,Friday,Kansas City Chiefs,2,76.7,53.5,30,Kansas City Chiefs,76.7,Carolina Panthers,23.2,https://www.espn.com/nfl/game/_/gameId/401671651/chiefs-panthers
false,12,Friday,Houston Texans,6,68.5,37.2,19,Tennessee Titans,31.3,Houston Texans,68.5,https://www.espn.com/nfl/game/_/gameId/401671858/titans-texans
false,12,Friday,Dallas Cowboys,8,60.2,20.7,16,Dallas Cowboys,60.2,Washington Commanders,39.5,https://www.espn.com/nfl/game/_/gameId/401671715/cowboys-commanders
false,12,Friday,Tampa Bay Buccaneers,12,59.6,19.5,19,Tampa Bay Buccaneers,59.6,New York Giants,40.1,https://www.espn.com/nfl/game/_/gameId/401671638/buccaneers-giants
false,12,Friday,Detroit Lions,3,59.2,18.7,16,Detroit Lions,59.2,Indianapolis Colts,40.5,https://www.espn.com/nfl/game/_/gameId/401671866/lions-colts
false,12,Friday,Las Vegas Raiders,27,56.1,12.5,3,Denver Broncos,43.6,Las Vegas Raiders,56.1,https://www.espn.com/nfl/game/_/gameId/401671656/broncos-raiders
false,12,Friday,Miami Dolphins,29,55.4,11.2,1,New England Patriots,44.2,Miami Dolphins,55.4,https://www.espn.com/nfl/game/_/gameId/401671847/patriots-dolphins
false,12,Friday,San Francisco 49ers,1,55.2,10.8,25,San Francisco 49ers,55.2,Green Bay Packers,44.4,https://www.espn.com/nfl/game/_/gameId/401671768/49ers-packers
false,12,Saturday,Baltimore Ravens,7,54.3,9,9,Baltimore Ravens,54.3,Los Angeles Chargers,45.3,https://www.espn.com/nfl/game/_/gameId/401671689/ravens-chargers
false,12,Friday,Seattle Seahawks,18,53.2,6.8,2,Arizona Cardinals,46.4,Seattle Seahawks,53.2,https://www.espn.com/nfl/game/_/gameId/401671775/cardinals-seahawks
false,12,Tuesday,Cleveland Browns,22,51.8,4,1,Pittsburgh Steelers,47.8,Cleveland Browns,51.8,https://www.espn.com/nfl/game/_/gameId/401671875/steelers-browns
false,12,Friday,Philadelphia Eagles,5,51.8,4,4,Philadelphia Eagles,51.8,Los Angeles Rams,47.8,https://www.espn.com/nfl/game/_/gameId/401671794/eagles-rams
false,12,Friday,Chicago Bears,21,51.1,2.6,6,Minnesota Vikings,48.5,Chicago Bears,51.1,https://www.espn.com/nfl/game/_/gameId/401671870/vikings-bears
false,13,Wednesday,Kansas City Chiefs,2,74.1,48.4,25,Las Vegas Raiders,25.7,Kansas City Chiefs,74.1,https://www.espn.com/nfl/game/_/gameId/401671806/raiders-chiefs
false,13,Tuesday,Dallas Cowboys,8,73,46.2,23,New York Giants,26.8,Dallas Cowboys,73,https://www.espn.com/nfl/game/_/gameId/401671779/giants-cowboys
false,13,Tuesday,Green Bay Packers,26,67.3,34.8,3,Miami Dolphins,32.5,Green Bay Packers,67.3,https://www.espn.com/nfl/game/_/gameId/401671798/dolphins-packers
false,13,Tuesday,Detroit Lions,3,66.8,33.8,18,Chicago Bears,33,Detroit Lions,66.8,https://www.espn.com/nfl/game/_/gameId/401671492/bears-lions
false,13,Friday,Tampa Bay Buccaneers,12,65.2,30.7,20,Tampa Bay Buccaneers,65.2,Carolina Panthers,34.5,https://www.espn.com/nfl/game/_/gameId/401671752/buccaneers-panthers
