Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage Difference,Rank Difference,Projected Winner Futures Difference,Away Team,Away Rank,Away Percentage,Away Futures NJ,Away-Home Futures NJ difference,Home Team,Home Rank,Home Percentage,Home Futures NJ,Home-Away Futures NJ difference,Game URL
false,16,Sunday,Green Bay Packers,20,24.7,11,-85000,Green Bay Packers,19,62.2,15000,-85000,Carolina Panthers,31,37.5,100000,85000,https://www.espn.com/nfl/game?gameId=401547617
false,16,Sunday,Chicago Bears,26,20.9,3,0,Arizona Cardinals,30,39.4,100000,0,Chicago Bears,27,60.3,100000,0,https://www.espn.com/nfl/game?gameId=401547619
false,16,Sunday,Seattle Seahawks,15,16.6,13,-36000,Seattle Seahawks,10,58.1,4000,-36000,Tennessee Titans,26,41.5,40000,36000,https://www.espn.com/nfl/game?gameId=401547614
false,16,Monday,San Francisco 49ers,1,16.6,2,-250,Baltimore Ravens,3,41.5,750,250,San Francisco 49ers,2,58.1,500,-250,https://www.espn.com/nfl/game?gameId=401547622
false,16,Saturday,Cincinnati Bengals,9,15.4,8,-2800,Cincinnati Bengals,9,57.5,2200,-2800,Pittsburgh Steelers,12,42.1,5000,2800,https://www.espn.com/nfl/game?gameId=401547610
false,16,Sunday,Jacksonville Jaguars,11,14.3,8,-13000,Jacksonville Jaguars,7,57,2000,-13000,Tampa Bay Buccaneers,21,42.7,15000,13000,https://www.espn.com/nfl/game?gameId=401547615
false,16,Sunday,Denver Broncos,23,12.6,1,-85000,New England Patriots,28,43.5,100000,85000,Denver Broncos,18,56.1,15000,-85000,https://www.espn.com/nfl/game?gameId=401547621
false,16,Thursday,Los Angeles Rams,12,12.1,4,9000,New Orleans Saints,14,43.8,6000,-9000,Los Angeles Rams,20,55.9,15000,9000,https://www.espn.com/nfl/game?gameId=401547609
false,16,Sunday,Detroit Lions,10,9,3,-9000,Detroit Lions,5,54.3,1000,-9000,Minnesota Vikings,15,45.3,10000,9000,https://www.espn.com/nfl/game?gameId=401547618
false,16,Sunday,New York Jets,25,6.2,2,-15000,Washington Commanders,25,46.7,25000,15000,New York Jets,16,52.9,10000,-15000,https://www.espn.com/nfl/game?gameId=401547613
false,16,Sunday,Miami Dolphins,6,4.8,2,0,Dallas Cowboys,4,47.4,1000,0,Miami Dolphins,6,52.2,1000,0,https://www.espn.com/nfl/game?gameId=401547620
false,16,Sunday,Atlanta Falcons,22,2.8,1,0,Indianapolis Colts,23,48.4,20000,0,Atlanta Falcons,22,51.2,20000,0,https://www.espn.com/nfl/game?gameId=401547616
false,16,Sunday,Houston Texans,18,1.4,4,5000,Cleveland Browns,11,49.1,5000,-5000,Houston Texans,17,50.5,10000,5000,https://www.espn.com/nfl/game?gameId=401547612
false,16,Saturday,Buffalo Bills,5,1,3,-2800,Buffalo Bills,8,50.3,2200,-2800,Los Angeles Chargers,13,49.3,5000,2800,https://www.espn.com/nfl/game?gameId=401547611
false,17,Sunday,Philadelphia Eagles,7,67.6,22,-99500,Arizona Cardinals,30,16.1,100000,99500,Philadelphia Eagles,1,83.7,500,-99500,https://www.espn.com/nfl/game?gameId=401547633
false,17,Sunday,Buffalo Bills,5,59.8,19,-97800,New England Patriots,28,20,100000,97800,Buffalo Bills,8,79.8,2200,-97800,https://www.espn.com/nfl/game?gameId=401547626
false,17,Sunday,Los Angeles Rams,12,56.2,20,-85000,Los Angeles Rams,20,78,15000,-85000,New York Giants,29,21.8,100000,85000,https://www.espn.com/nfl/game?gameId=401547632
false,17,Sunday,San Francisco 49ers,1,55.9,26,-24500,San Francisco 49ers,2,77.9,500,-24500,Washington Commanders,25,22,25000,24500,https://www.espn.com/nfl/game?gameId=401547635
false,17,Sunday,Jacksonville Jaguars,11,51.6,20,-98000,Carolina Panthers,31,24.1,100000,98000,Jacksonville Jaguars,7,75.7,2000,-98000,https://www.espn.com/nfl/game?gameId=401547629
false,17,Sunday,Los Angeles Chargers,8,40,15,-10000,Los Angeles Chargers,13,69.9,5000,-10000,Denver Broncos,18,29.9,15000,10000,https://www.espn.com/nfl/game?gameId=401547630
false,17,Sunday,Indianapolis Colts,21,34.4,9,-5000,Las Vegas Raiders,24,32.7,25000,5000,Indianapolis Colts,23,67.1,20000,-5000,https://www.espn.com/nfl/game?gameId=401547628
false,17,Saturday,Dallas Cowboys,4,33.1,6,0,Detroit Lions,5,33.3,1000,0,Dallas Cowboys,4,66.4,1000,0,https://www.espn.com/nfl/game?gameId=401547624
false,17,Sunday,Kansas City Chiefs,2,32.7,7,-1750,Cincinnati Bengals,9,33.5,2200,1750,Kansas City Chiefs,0,66.2,450,-1750,https://www.espn.com/nfl/game?gameId=401547235
false,17,Sunday,Houston Texans,18,26.5,10,-30000,Tennessee Titans,26,36.6,40000,30000,Houston Texans,17,63.1,10000,-30000,https://www.espn.com/nfl/game?gameId=401547631
false,17,Thursday,Cleveland Browns,14,23.3,11,-5000,New York Jets,16,38.2,10000,5000,Cleveland Browns,11,61.5,5000,-5000,https://www.espn.com/nfl/game?gameId=401547623
false,17,Sunday,Minnesota Vikings,13,17.9,7,-5000,Green Bay Packers,19,40.9,15000,5000,Minnesota Vikings,15,58.8,10000,-5000,https://www.espn.com/nfl/game?gameId=401547637
false,17,Sunday,Seattle Seahawks,15,11.3,2,-1000,Pittsburgh Steelers,12,44.2,5000,1000,Seattle Seahawks,10,55.5,4000,-1000,https://www.espn.com/nfl/game?gameId=401547636
false,17,Sunday,Baltimore Ravens,3,8.4,3,-250,Miami Dolphins,6,45.6,1000,250,Baltimore Ravens,3,54,750,-250,https://www.espn.com/nfl/game?gameId=401547625
false,17,Sunday,New Orleans Saints,16,6.5,3,-9000,New Orleans Saints,14,53.1,6000,-9000,Tampa Bay Buccaneers,21,46.6,15000,9000,https://www.espn.com/nfl/game?gameId=401547634
false,17,Sunday,Atlanta Falcons,22,3.8,4,-80000,Atlanta Falcons,22,51.7,20000,-80000,Chicago Bears,27,47.9,100000,80000,https://www.espn.com/nfl/game?gameId=401547627
